ortho	phon	lemme	cgram	genre	nombre	
profs	pROf	prof	NOM		p	
apothéoses	apoteoz	apothéose	NOM	f	p	
pyrotechnie	piRotEkni	pyrotechnie	NOM	f	s	
combinaisons	k§binEz§	combinaison	NOM	f	p	
herbivores	ERbivOR	herbivore	NOM	m	p	
steamboat	stimbOwt	steamboat	NOM	m	s	
chapiteaux	Sapito	chapiteau	NOM	m	p	
pourritures	puRityR	pourriture	NOM	f	p	
taloches	talOS	taloche	NOM	f	p	
préalables	pRealabl	préalable	NOM	m	p	
urdu	yRdy	urdu	NOM	m	s	
messagerie	mesaZ°Ri	messagerie	NOM	f	s	
oracles	oRakl	oracle	NOM	m	p	
bondieuseries	b§dj2z°Ri	bondieuserie	NOM	f	p	
crachins	kRaS5	crachin	NOM	m	p	
tord-boyaux	tORbwajo	tord-boyaux	NOM	m		
mouflette	muflEt	mouflette	NOM	f	s	
contremaîtresse	k§tR°mEtREs	contremaîtresse	NOM	f	s	
assouplissant	asuplis@	assouplissant	NOM	m	s	
fanfaronne	f@faROn	fanfaron	NOM	f	s	
fuel	fjul	fuel	NOM	m	s	
troncs	tR§	tronc	NOM	m	p	
smiley	smajli	smiley	NOM	m	s	
anastomose	anastomoz	anastomose	NOM	f	s	
tome	tOm	tome	NOM	m	s	
veneurs	v°n9R	veneur	NOM	m	p	
verticales	vERtikal	verticale	NOM	f	p	
ribouis	Ribwi	ribouis	NOM	m		
carogne	kaRON	carogne	NOM	f	s	
salmonelle	salmonEl	salmonelle	NOM	f	s	
drop	dROp	drop	NOM	m	s	
soussou	susu	soussou	NOM		s	
percepteurs	pERsEpt9R	percepteur	NOM	m	p	
crins	kR5	crin	NOM	m	p	
barbets	baRbE	barbet	NOM	m	p	
chantiers	S@tje	chantier	NOM	m	p	
amas	ama	amas	NOM	m		
laminage	laminaZ	laminage	NOM	m	s	
cantatrices	k@tatRis	cantatrice	NOM	f	p	
rhythm'n'blues	RitmEnbluz	rhythm'n'blues	NOM	m		
lécheurs	leS9R	lécheur	NOM	m	p	
pissat	pisa	pissat	NOM	m	s	
quiétude	kjetyd	quiétude	NOM	f	s	
claim	klEm	claim	NOM	m	s	
escorteur	EskORt9R	escorteur	NOM	m	s	
orienteuse	oRj@t2z	orienteur	NOM	f	s	
préventions	pRev@sj§	prévention	NOM	f	p	
bronchites	bR§Sit	bronchite	NOM	f	p	
entendant	@t@d@	entendant	NOM	m	s	
chroniqueurs	kRonik9R	chroniqueur	NOM	m	p	
trips	tRip	trip	NOM	m	p	
attardé	ataRde	attardé	NOM	m	s	
loulous	lulu	loulou	NOM	m	p	
métempsycose	met@psikoz	métempsycose	NOM	f	s	
ex-reine	EksREn	ex-reine	NOM	f	s	
survêts	syRvE	survêt	NOM	m	p	
mi-humaine	miymEn	mi-humaine	NOM	m		
mimosées	mimoze	mimosée	NOM	f	p	
totaux	toto	total	NOM	m	p	
précédents	pResed@	précédent	NOM	m	p	
ex-petite	Eksp°tit	ex-petit	NOM	f	s	
reproches	R°pROS	reproche	NOM	m	p	
commanditaire	kom@ditER	commanditaire	NOM		s	
administratifs	administRatif	administratif	NOM	m	p	
décoffrage	dekOfRaZ	décoffrage	NOM	m	s	
tentacules	t@takyl	tentacule	NOM	m	p	
taoïste	taoist	taoïste	NOM		s	
national-socialiste	nasjonalsosjalist	national-socialiste	NOM		s	
arrivées	aRive	arrivée	NOM	f	p	
ex-arriviste	EksaRivist	ex-arriviste	NOM		s	
baguette	bagEt	baguette	NOM	f	s	
rescrit	REskRi	rescrit	NOM	m	s	
designs	dizajn	design	NOM	m	p	
aplatissements	aplatis°m@	aplatissement	NOM	m	p	
appuie-tête	ap8itEt	appuie-tête	NOM	m		
sandale	s@dal	sandal	NOM	f	s	
blennies	blEni	blennie	NOM	f	p	
tréma	tRema	tréma	NOM	m	s	
hydrox	idROks	hydrox	NOM	m		
contournement	k§tuRn°m@	contournement	NOM	m	s	
viticultrice	vitikyltRis	viticulteur	NOM	f	s	
estancia	Est@sja	estancia	NOM	f	s	
ossement	Os°m@	ossement	NOM	m	s	
imitateur	imitat9R	imitateur	NOM	m	s	
moralisateur	moRalizat9R	moralisateur	NOM	m	s	
accords	akOR	accord	NOM	m	p	
baratte	baRat	baratte	NOM	f	s	
gaietés	gEte	gaieté	NOM	f	p	
ski	ski	ski	NOM	m	s	
acabit	akabi	acabit	NOM	m	s	
nanoseconde	nanoz°g§d	nanoseconde	NOM	f	s	
chaouch	SauS	chaouch	NOM	m	s	
savons	sav§	savon	NOM	m	p	
baccara	bakaRa	baccara	NOM	m	s	
résignations	ReziNasj§	résignation	NOM	f	p	
mondanité	m§danite	mondanité	NOM	f	s	
réclamantes	Reklam@t	réclamant	NOM	f	p	
étals	etal	étal	NOM	m	p	
bâtisseur	batis9R	bâtisseur	NOM	m	s	
arracheurs	aRaS9R	arracheur	NOM	m	p	
effet	efE	effet	NOM	m	s	
râleurs	Ral9R	râleur	NOM	m	p	
perroquet	pERokE	perroquet	NOM	m	s	
réformés	RefORme	réformé	NOM	m	p	
brouillage	bRujaZ	brouillage	NOM	m	s	
bastille	bastij	bastille	NOM	f	s	
implosive	5ploziv	implosive	NOM	f	s	
anti-inertie	@tiinERsi	anti-inertie	NOM	f	s	
clochards	kloSaR	clochard	NOM	m	p	
cabillots	kabijo	cabillot	NOM	m	p	
tuée	t8e	tué	NOM	f	s	
lépreuse	lepR2z	lépreux	NOM	f	s	
instructions	5stRyksj§	instruction	NOM	f	p	
phénomène	fenomEn	phénomène	NOM	m	s	
serine	s°Rin	serin	NOM	f	s	
réalisateurs	Realizat9R	réalisateur	NOM	m	p	
clignotant	kliNot@	clignotant	NOM	m	s	
hitlérienne	itleRjEn	hitlérien	NOM	f	s	
oncle	§kl	oncle	NOM	m	s	
drapier	dRapje	drapier	NOM	m	s	
rougeurs	RuZ9R	rougeur	NOM	f	p	
fumeurs	fym9R	fumeur	NOM	m	p	
sessions	sesj§	session	NOM	f	p	
pyxides	piksid	pyxide	NOM	f	p	
giclement	Zikl°m@	giclement	NOM	m	s	
strate	stRat	strate	NOM	f	s	
couvreurs	kuvR9R	couvreur	NOM	m	p	
déclassé	deklase	déclassé	NOM	m	s	
comédons	komed§	comédon	NOM	m	p	
literies	lit°Ri	literie	NOM	f	p	
approches	apROS	approche	NOM	f	p	
représailles	R°pRezaj	représaille	NOM	f	p	
cyanure	sjanyR	cyanure	NOM	m	s	
diableries	djabl°Ri	diablerie	NOM	f	p	
noir	nwaR	noir	NOM	m	s	
distillation	distilasj§	distillation	NOM	f	s	
coulisses	kulis	coulisse	NOM	f	p	
fricoteur	fRikot9R	fricoteur	NOM	m	s	
quadriréacteur	kwadRiReakt9R	quadriréacteur	NOM	m	s	
prescriptions	pREskRipsj§	prescription	NOM	f	p	
thermite	tERmit	thermite	NOM	f	s	
méduses	medyz	méduse	NOM	f	p	
confesseurs	k§fEs9R	confesseur	NOM	m	p	
maladresses	maladREs	maladresse	NOM	f	p	
anti-rides	@tiRid	anti-ride	NOM	f	p	
gallicanisme	galikanizm	gallicanisme	NOM	m	s	
vice-ministres	visministR	vice-ministre	NOM		p	
piastre	pjastR	piastre	NOM	f	s	
boxes	bOks	boxe	NOM	f	p	
noceuse	nos2z	noceur	NOM	f	s	
ergotamine	ERgotamin	ergotamine	NOM	f	s	
attaques	atak	attaque	NOM	f	p	
salissure	salisyR	salissure	NOM	f	s	
particularismes	paRtikylaRizm	particularisme	NOM	m	p	
entrant	@tR@	entrant	NOM	m	s	
références	RefeR@s	référence	NOM	f	p	
pur-sang	pyRs@	pur-sang	NOM	m		
piastres	pjastR	piastre	NOM	f	p	
tourtereaux	tuRt°Ro	tourtereau	NOM	m	p	
bouée	bwe	bouée	NOM	f	s	
déchireur	deSiR9R	déchireur	NOM	m	s	
cobayes	kobaj	cobaye	NOM	m	p	
joncs	Z§	jonc	NOM	m	p	
traque	tRak	traque	NOM	f	s	
jar	ZaR	jar	NOM	m	s	
gauchère	goSER	gaucher	NOM	f	s	
jugulaire	ZygylER	jugulaire	NOM	f	s	
scratching	skRatSiG	scratching	NOM	m	s	
foule	ful	foule	NOM	f	s	
herbes	ERb	herbe	NOM	f	p	
porcheries	pORS°Ri	porcherie	NOM	f	p	
péteuse	pet2z	péteuse	NOM	f	s	
érotomanie	eRotomani	érotomanie	NOM	f	s	
ralliements	Ralim@	ralliement	NOM	m	p	
bourreau	buRo	bourreau	NOM	m	s	
annamites	anamit	annamite	NOM		p	
ressacs	R°sak	ressac	NOM	m	p	
pétéchies	peteSi	pétéchie	NOM	f	p	
italiano	italjano	italiano	NOM	m	s	
bricolos	bRikolo	bricolo	NOM	m	p	
pataquès	patakEs	pataquès	NOM	m		
blazes	blaz	blaze	NOM	m	p	
pyrite	piRit	pyrite	NOM	f	s	
pastiche	pastiS	pastiche	NOM	m	s	
mendigot	m@digo	mendigot	NOM	m	s	
variation	vaRjasj§	variation	NOM	f	s	
pétrissage	petRisaZ	pétrissage	NOM	m	s	
pédiatre	pedjatR	pédiatre	NOM		s	
crèmes	kREm	crème	NOM		p	
chineurs	Sin9R	chineur	NOM	m	p	
dents	d@	dent	NOM	f	p	
enjouement	@Zum@	enjouement	NOM	m	s	
collégiennes	koleZjEn	collégien	NOM	f	p	
examinateurs	Egzaminat9R	examinateur	NOM	m	p	
gaucho	goSo	gaucho	NOM	m	s	
niébé	njebe	niébé	NOM	m	s	
salarié	salaRje	salarié	NOM	m	s	
neuvaines	n9vEn	neuvaine	NOM	f	p	
moustagaches	mustagaS	moustagache	NOM	f	p	
sébiles	sebil	sébile	NOM	f	p	
shahs	Sa	shah	NOM	m	p	
déjections	deZEksj§	déjection	NOM	f	p	
cancéreux	k@seR2	cancéreux	NOM	m		
classeur	klas9R	classeur	NOM	m	s	
anti-apartheid	@tiapaRtEd	anti-apartheid	NOM	m	s	
frictions	fRiksj§	friction	NOM	f	p	
ricains	Rik5	ricain	NOM	m	p	
